PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,firstName,secondName,AgeGroup,namePrefix,FamilySize,Alone,CabinType
1,0,3,M,22.0,1,0,A/5 21171,7.25,,S,Braund, Mr. Owen Harris,Adult,Mr,2,0,n
2,1,1,F,38.0,1,0,PC 17599,71.2833,C85,C,Cumings, Mrs. John Bradley (Florence Briggs Thayer),Adult,Mr,2,0,C
3,1,3,F,26.0,0,0,STON/O2. 3101282,7.925,,S,Heikkinen, Miss. Laina,Adult,Miss,1,1,n
4,1,1,F,35.0,1,0,113803,53.1,C123,S,Futrelle, Mrs. Jacques Heath (Lily May Peel),Adult,Mr,2,0,C
5,0,3,M,35.0,0,0,373450,8.05,,S,Allen, Mr. William Henry,Adult,Mr,1,1,n
6,0,3,M,24.0,0,0,330877,8.4583,,Q,Moran, Mr. James,Adult,Mr,1,1,n
7,0,1,M,54.0,0,0,17463,51.8625,E46,S,McCarthy, Mr. Timothy J,Adult,Mr,1,1,E
8,0,3,M,2.0,3,1,349909,21.075,,S,Palsson, Master. Gosta Leonard,Kid,Master,5,0,n
9,1,3,F,27.0,0,2,347742,11.1333,,S,Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg),Adult,Mr,3,0,n
10,1,2,F,14.0,1,0,237736,30.0708,,C,Nasser, Mrs. Nicholas (Adele Achem),Teen,Mr,2,0,n
11,1,3,F,4.0,1,1,PP 9549,16.7,G6,S,Sandstrom, Miss. Marguerite Rut,Kid,Miss,3,0,G
12,1,1,F,58.0,0,0,113783,26.55,C103,S,Bonnell, Miss. Elizabeth,Adult,Miss,1,1,C
13,0,3,M,20.0,0,0,A/5. 2151,8.05,,S,Saundercock, Mr. William Henry,Adult,Mr,1,1,n
14,0,3,M,39.0,1,5,347082,31.275,,S,Andersson, Mr. Anders Johan,Adult,Mr,7,0,n
15,0,3,F,14.0,0,0,350406,7.8542,,S,Vestrom, Miss. Hulda Amanda Adolfina,Teen,Miss,1,1,n
16,1,2,F,55.0,0,0,248706,16.0,,S,Hewlett, Mrs. (Mary D Kingcome) ,Adult,Mr,1,1,n
17,0,3,M,2.0,4,1,382652,29.125,,Q,Rice, Master. Eugene,Kid,Master,6,0,n
18,1,2,M,29.0,0,0,244373,13.0,,S,Williams, Mr. Charles Eugene,Adult,Mr,1,1,n
19,0,3,F,31.0,1,0,345763,18.0,,S,Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele),Adult,Mr,2,0,n
20,1,3,F,24.0,0,0,2649,7.225,,C,Masselmani, Mrs. Fatima,Adult,Mr,1,1,n
21,0,2,M,35.0,0,0,239865,26.0,,S,Fynney, Mr. Joseph J,Adult,Mr,1,1,n
22,1,2,M,34.0,0,0,248698,13.0,D56,S,Beesley, Mr. Lawrence,Adult,Mr,1,1,D
23,1,3,F,15.0,0,0,330923,8.0292,,Q,McGowan," Miss. Anna ""Annie""",Teen,Miss,1,1,n
24,1,1,M,28.0,0,0,113788,35.5,A6,S,Sloper, Mr. William Thompson,Adult,Mr,1,1,A
25,0,3,F,8.0,3,1,349909,21.075,,S,Palsson, Miss. Torborg Danira,Kid,Miss,5,0,n
26,1,3,F,38.0,1,5,347077,31.3875,,S,Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson),Adult,Mr,7,0,n
27,0,3,M,24.0,0,0,2631,7.225,,C,Emir, Mr. Farred Chehab,Adult,Mr,1,1,n
28,0,1,M,19.0,3,2,19950,263.0,C23 C25 C27,S,Fortune, Mr. Charles Alexander,Adult,Mr,6,0,C
